"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Stocks at end of year - Factored goods","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2013","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2013","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2013","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2014","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2015","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2016","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2017","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2018","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2008","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2008","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2008","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2008","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2008","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2008","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2008","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2008","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2008","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2009","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2009","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2009","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2009","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2009","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2009","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2009","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2009","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2009","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2010","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2010","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2010","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2010","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2010","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2010","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2010","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2010","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2010","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2011","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2011","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2011","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2011","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2011","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2011","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2011","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2011","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2011","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2012","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2012","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2012","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2012","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2012","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2012","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2012","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2012","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2012","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2012","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2013","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2013","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2013","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2013","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2013","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2013","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2013","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2013","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2013","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2014","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2014","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2014","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2014","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2014","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2014","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2014","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2014","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2014","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2015","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2015","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2015","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2015","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2015","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2015","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2015","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2015","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2015","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2016","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2016","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2016","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2016","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2016","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2016","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2016","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2016","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2016","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2017","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2017","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2017","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2017","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2017","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2017","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2017","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2017","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2017","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2018","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2018","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2018","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2018","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2018","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2018","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2018","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2018","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2018","Construction (41 to 43)","Euro Thousand",""
"Stocks at end of year - Total","2019","Development of building projects (411)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of utility projects (422)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stocks at end of year - Total","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stocks at end of year - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stocks at end of year - Total","2019","Building completion and finishing (433)","Euro Thousand",""
"Stocks at end of year - Total","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stocks at end of year - Total","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2008","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2008","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2008","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2008","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2008","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2008","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2008","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2008","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2008","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2009","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2009","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2009","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2009","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2009","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2009","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2009","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2009","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2009","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2010","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2010","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2010","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2010","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2010","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2010","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2010","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2010","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2010","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2011","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2011","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2011","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2011","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2011","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2011","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2011","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2011","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2011","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2012","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2012","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2012","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2012","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2012","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2012","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2012","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2012","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2012","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2012","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2013","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2013","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2013","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2013","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2013","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2013","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2013","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2013","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2013","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2013","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2014","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2014","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2014","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2014","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2014","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2014","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2014","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2014","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2014","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2014","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2015","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2015","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2015","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2015","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2015","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2015","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2015","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2015","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2015","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2015","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2016","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2016","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2016","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2016","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2016","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2016","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2016","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2016","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2016","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2016","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2017","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2017","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2017","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2017","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2017","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2017","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2017","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2017","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2017","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2017","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2018","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2018","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2018","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2018","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2018","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2018","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2018","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2018","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2018","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2018","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Work in progress","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Work in progress","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Work in progress","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Work in progress","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Work in progress","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Work in progress","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Unsold finished work","2008","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Unsold finished work","2009","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Unsold finished work","2010","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Development of building projects (411)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2011","Other specialised construction activities (439)","Euro Thousand",""
